#RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,NumOfProducts,HasCrCard,EstimatedSalary,Exited,Balance
84,15801473,Moore,599,Male,33,2,2,1,85046,0,51950
85,15761717,Ch'ien,720,Male,26,10,2,1,45507,0,51963
86,15567725,Kodilinyechukwu,689,Female,46,7,2,1,72994,0,52016
87,15743478,Johnson,659,Male,39,8,2,1,107964,0,52106
88,15708650,Fullwood,727,Female,31,2,2,0,160383,0,52192
89,15799217,Zetticci,791,Female,35,7,1,1,161052,0,52436
90,15702462,Fiorentini,619,Female,44,6,1,1,112649,1,52831
91,15775433,Tang,666,Male,71,1,2,1,112223,0,53013
92,15664227,Threatt,506,Male,28,8,1,0,24577,0,53054
93,15634143,Onyemauchechi,581,Male,30,0,1,0,196582,0,53292
94,15644686,Kennedy,729,Female,34,9,2,1,42856,0,53300
95,15813645,Hamilton,491,Female,36,0,1,1,103934,0,53369
96,15566139,Ts'ui,526,Female,37,5,1,1,62831,0,53573
97,15771383,Loggia,628,Female,45,6,1,1,115023,0,53667
98,15578799,Anayolisa,625,Female,58,10,1,1,192072,1,53773
99,15758836,Godfrey,675,Male,36,3,2,0,54479,0,54098
100,15575759,Bentley,583,Female,40,3,1,1,109639,1,54428
101,15584766,Knight,557,Male,33,3,1,1,371,0,54504
102,15645103,Su,812,Male,25,5,1,1,131660,0,54818
103,15607178,Welch,850,Male,38,3,1,1,140076,0,54901
104,15647572,Greece,504,Male,34,0,1,1,136910,0,54981
105,15802274,Waters,686,Female,44,7,1,1,181757,0,55054
106,15798895,Okonkwo,525,Female,59,6,1,1,83343,1,55328
107,15781678,Pisani,470,Male,31,4,2,1,103793,0,55733
108,15668971,Nicholson,583,Female,40,4,2,1,26920,0,55776
109,15779581,Bottrill,734,Female,43,3,2,0,94812,1,55853
110,15702014,Jeffrey,555,Male,33,1,2,0,178798,0,56085
111,15630709,Castiglione,619,Female,31,2,2,0,2182,0,56116
112,15726931,Onwumelu,715,Female,41,8,2,0,92983,1,56215
113,15621063,Gibbons,516,Female,42,8,1,1,46858,0,56228
114,15613189,Browne,774,Female,52,2,1,1,113266,1,56581
115,15694188,Obidimkpa,700,Female,46,5,2,0,45424,0,56581
116,15684269,Gray,707,Female,35,3,1,1,17987,1,56674
117,15635143,Fennescey,749,Male,42,2,2,0,185543,0,56727
118,15751203,Cattaneo,702,Male,26,5,2,1,100442,1,56738
119,15780140,Bellucci,435,Male,32,2,2,1,5907,0,57017
120,15661974,Pirozzi,677,Male,46,2,1,1,158531,0,57038
121,15585106,Calabresi,492,Female,38,8,2,1,188975,0,57068
122,15804853,McVey,781,Female,48,0,1,1,85644,1,57099
123,15626491,Hughes,655,Female,45,7,1,0,47349,0,57327
124,15569892,Johnstone,516,Male,35,10,1,1,101700,0,57370
125,15798605,Tien,686,Male,26,1,1,1,79189,0,57423
126,15613102,Ogochukwu,670,Female,31,2,1,1,181893,1,57530
127,15646594,Ali,749,Male,41,5,1,1,61128,0,57569
128,15572360,Clark,683,Male,30,10,1,0,79241,0,57657
129,15600110,Endrizzi,506,Female,41,3,1,1,4035,0,57746
130,15801265,Tang,689,Female,45,0,1,1,197804,1,57784
131,15565779,Kent,627,Female,30,6,1,1,188258,0,57809
132,15611325,Wood,682,Male,24,9,2,0,53134,0,57930
133,15791006,Kodilinyechukwu,760,Female,34,6,1,1,90346,0,58003
134,15705313,Stange,707,Female,33,2,1,1,83336,0,58036
135,15757140,Genovese,787,Male,51,0,1,0,142538,0,58137
136,15759537,Bianchi,717,Male,35,7,2,1,172459,0,58469
137,15747772,Cunningham,706,Male,36,9,2,1,40774,0,58571
138,15677369,Golubov,554,Female,37,4,1,0,182039,0,58630
139,15599433,Fanucci,660,Male,35,8,1,0,198674,0,58641
140,15644724,Fan,472,Male,31,4,2,0,73322,0,58663
141,15763980,Beneventi,632,Male,30,1,1,1,78671,0,58668
142,15598846,Shahan,700,Female,44,2,1,1,16875,0,58782
143,15761076,Lei,507,Male,41,3,2,1,138536,0,58820
144,15791743,Corbett,727,Male,32,1,1,1,46019,0,59272
145,15669290,Fan,603,Male,38,8,1,1,191457,0,59361
146,15674811,Kellway,739,Male,29,3,2,1,105534,0,59386
147,15592300,Mai,543,Male,35,10,1,1,76774,0,59409
148,15584364,Trentini,652,Male,48,4,1,1,163944,1,59486
149,15578648,Marino,543,Male,49,6,1,1,104254,0,59532
150,15665634,Campbell,645,Female,38,7,1,1,167723,0,59569
151,15597930,Wilson,646,Male,52,8,1,0,172496,1,59669
152,15656300,Lucciano,411,Male,29,0,2,1,53483,0,59697
153,15683339,P'eng,656,Female,34,6,1,1,14033,1,59877
154,15673529,Lombardo,645,Male,36,4,2,1,44000,0,59894
155,15717629,Docherty,632,Male,42,6,2,0,148173,0,59972
156,15628863,Calabresi,601,Male,38,4,1,1,38020,0,60014
157,15681439,Tsou,775,Male,25,10,2,1,14073,0,60205
158,15766765,Obiuto,664,Male,39,7,1,1,170835,0,60263
159,15729668,Elizabeth,521,Male,29,3,1,1,154271,0,60281
160,15638621,Simmons,735,Male,39,1,1,1,40224,0,60375
161,15674179,Vorobyova,513,Male,34,7,1,0,124571,0,60515
162,15808228,Tuan,768,Female,44,6,1,1,178046,0,60603
163,15616555,Fu,850,Male,41,8,1,1,31826,0,60881
164,15664539,Bruce,683,Male,35,9,1,0,82951,0,61172
165,15659105,Borchgrevink,669,Female,47,9,1,1,58170,0,61197
166,15762882,Manna,577,Female,31,4,1,1,145250,0,61211
167,15793424,Tan,663,Female,28,8,2,1,136054,0,61275
168,15770554,Fraser,769,Male,31,4,2,1,7118,0,61297
169,15635500,Seleznyov,605,Male,75,2,1,0,186655,0,61320
170,15754577,Boni,556,Female,51,8,1,1,198811,1,61354
171,15617136,Mazzanti,451,Female,38,9,1,1,167539,0,61482
172,15612769,Carr,692,Male,28,5,1,1,70180,0,61582
173,15762332,Ulyanova,568,Female,31,1,2,1,61797,0,61592
174,15688193,Graham,468,Male,36,3,1,0,107787,0,61637
175,15747288,Ferri,838,Female,40,6,1,0,150659,1,61671
176,15764021,Frolov,617,Male,34,1,2,1,105965,0,61687
177,15727408,Koo,523,Male,27,8,2,1,147059,0,61689
178,15788367,Ellis,487,Male,44,6,1,1,53088,0,61691
179,15679200,Crawford,580,Male,29,9,2,1,128078,0,61710
180,15628999,Townsend,732,Male,79,10,1,1,104223,0,61811
181,15697000,Mello,728,Male,32,5,1,1,156125,0,61826
182,15613816,Mao,539,Female,39,6,1,0,59755,0,62052
183,15647725,Napolitano,675,Female,61,5,3,1,166305,1,62055
184,15684645,Ajuluchukwu,704,Male,41,9,2,1,129051,0,62078
185,15768945,Chibueze,627,Male,27,1,1,1,105887,0,62093
186,15720929,Kazantseva,604,Female,47,8,3,0,9308,1,62095
187,15799358,Vincent,516,Female,46,6,1,0,171682,1,62212
188,15813034,Martin,727,Male,38,2,1,1,59281,0,62277
189,15656726,Ch'ien,771,Male,32,5,1,1,40921,0,62322
190,15812918,Scott,432,Female,27,6,2,0,53875,0,62340
191,15765300,L?,596,Male,40,5,3,1,148623,1,62389
192,15630241,Tretyakova,594,Male,61,3,1,1,192434,0,62391
193,15643916,Munro,619,Male,46,8,1,1,132498,1,62400
194,15730448,Iroawuchi,538,Male,25,5,1,1,102758,0,62483
195,15684999,Ch'eng,850,Female,26,4,2,0,179365,0,62611
196,15646374,Wynne,766,Female,28,3,2,1,13182,0,62718
197,15794273,Hand,604,Female,56,0,1,0,124955,0,62733
198,15708505,Palerma,641,Female,37,7,2,0,39016,0,62975
199,15574119,Okwuadigbo,598,Female,64,1,1,1,152274,0,62980
200,15574795,Lombardo,495,Female,38,2,1,1,47090,0,63093
201,15594917,Miller,676,Female,34,1,1,1,40646,0,63095
202,15643630,Quaife,770,Male,55,9,2,1,185211,1,63127
203,15606274,Lori,594,Male,38,6,2,1,14466,0,63176
204,15652266,Chidiebele,703,Male,42,9,1,0,137316,0,63227
205,15690452,Tung,605,Male,52,1,1,1,108887,0,63350
206,15610355,Hunter,713,Male,44,1,1,1,64375,0,63439
207,15811565,Cocci,705,Female,47,3,1,0,28641,1,63489
208,15613656,Lombardi,842,Male,58,1,1,1,83172,0,63493
209,15650026,Barclay-Harvey,513,Male,44,1,2,0,52630,1,63562
210,15710689,Angel,578,Male,40,6,1,0,74966,1,63610
211,15802381,Li,461,Female,34,5,1,0,167784,0,63664
212,15702919,Collins,729,Male,30,6,1,1,145111,0,63669
213,15605264,Walker,669,Male,47,0,2,1,181928,0,63724
214,15753566,Espinosa,806,Female,32,3,1,1,156593,0,63763
215,15632125,Blake,606,Male,45,5,1,1,93708,0,63832
216,15713770,Shih,586,Male,41,3,1,1,83754,0,63874
217,15752626,Genovese,553,Male,32,7,1,0,109160,0,64082
218,15694272,Nkemakolam,673,Male,30,1,1,1,77783,0,64098
219,15727299,Edgar,445,Male,62,1,1,1,76570,1,64119
220,15758845,Rocher,590,Female,37,0,1,0,61759,1,64345
221,15724764,Lawley,667,Female,42,10,2,0,26022,0,64404
222,15565714,Cattaneo,601,Male,47,1,2,0,96518,0,64430
223,15730044,Greco,809,Female,42,6,3,0,182437,1,64498
224,15758116,Rossi,666,Male,53,5,1,1,128019,1,64647
225,15733014,Nolan,813,Female,62,10,2,0,140454,0,64668
226,15776223,Davide,597,Female,42,4,1,1,106841,0,64740
227,15727198,Teng,689,Female,28,2,2,0,78591,0,64808
228,15792722,Omeokachie,611,Female,43,8,1,1,114996,0,64898
229,15791030,Edwards,612,Female,33,0,2,1,102426,0,64900
230,15724563,Hawkins,752,Female,42,3,2,0,140139,0,65046
231,15682890,Woronoff,745,Male,38,5,2,1,140197,0,65095
232,15690743,Shao,536,Female,61,8,1,1,64308,1,65190
233,15750141,Reichard,721,Female,36,3,2,1,28738,0,65253
234,15664849,Colon,573,Male,46,3,1,0,189989,1,65269
235,15643575,Evseev,757,Male,36,1,1,0,64540,0,65350
236,15804131,Farmer,850,Female,53,7,2,0,182634,1,65407
237,15682928,Chiazagomekpere,695,Male,39,4,1,1,1244,0,65521
238,15739131,Whitworth,718,Male,28,4,1,1,28761,0,65643
239,15634628,Brown,579,Female,33,1,2,0,164609,0,65668
240,15616280,Hsia,536,Male,46,1,1,1,61095,0,65733
241,15604345,Kemp,730,Female,22,9,1,1,145792,0,65764
242,15697028,McClinton,590,Male,34,0,2,0,160346,0,65812
243,15780954,Cran,582,Male,26,4,2,1,30149,0,65848
244,15596181,Kwemto,542,Male,38,8,1,1,68093,1,65942
245,15742210,Ugochukwu,700,Male,38,9,1,1,100950,0,65963
246,15687658,Burgin,716,Female,52,7,2,1,14608,1,65972
247,15704788,Krawczyk,812,Female,49,8,2,0,91557,1,66079
248,15681402,Ngozichukwuka,763,Female,61,1,1,1,143981,0,66102
249,15743709,Toomey,683,Male,30,4,1,1,115187,0,66190
250,15567078,Kovaleva,789,Female,27,8,1,1,79458,0,66202
251,15762455,Yeh,624,Male,33,6,1,0,170819,0,66220
252,15801316,Ifeatu,523,Male,61,8,1,1,21859,0,66251
253,15800031,Laura,681,Male,43,3,1,1,18773,1,66339
254,15720649,Ferdinand,641,Female,36,5,1,1,31107,0,66393
255,15782100,Holloway,544,Male,22,3,1,0,110317,0,66483
256,15605872,Felix,707,Male,73,6,1,1,62769,0,66573
257,15641934,Manna,749,Female,46,9,1,1,78753,1,66583
258,15566380,Drury,586,Female,33,10,2,1,140759,0,66949
259,15625675,Clements,569,Male,36,1,1,1,154776,0,67088
260,15631189,Riggs,613,Male,38,9,1,1,78567,1,67112
261,15773723,Duncan,588,Female,22,9,1,1,163535,1,67178
262,15729362,Lombardi,745,Male,36,8,1,1,130790,0,67226
263,15568506,Forbes,524,Female,31,10,2,1,161811,0,67239
264,15600997,Demuth,747,Female,32,5,2,0,77370,0,67495
265,15690647,Rogers,582,Female,46,8,1,1,44506,1,67563
266,15782159,Ndubuagha,850,Male,28,8,2,1,194245,0,67640
267,15654409,Unwin,665,Female,34,5,1,1,29642,0,67817
268,15738181,Douglas,850,Male,31,6,2,0,50130,1,67996
269,15694860,Uspensky,675,Female,38,6,1,0,138777,1,68066
270,15628170,Brown,565,Female,32,9,1,1,143288,0,68067
271,15673084,Galkin,645,Male,38,1,1,0,166265,0,68080
272,15656330,Von Doussa,528,Female,32,0,1,1,170309,0,68138
273,15662067,Summers,743,Male,40,8,1,1,94877,0,68156
274,15667417,Tao,572,Male,33,9,1,1,19998,0,68194
275,15802585,Pisani,634,Female,41,8,1,1,6382,0,68214
276,15736327,Manna,567,Female,46,1,2,1,109573,0,68239
277,15694098,Jackson,575,Female,54,9,1,1,144391,0,68333
278,15636061,Pope,649,Male,78,4,2,1,142567,0,68346
279,15625445,Parkin,572,Female,36,8,2,0,50400,0,68348
280,15577178,Genovese,511,Male,45,5,1,1,193160,1,68375
281,15702145,Edments,705,Male,33,7,1,1,64873,0,68424
282,15815626,Oluchi,640,Male,63,2,2,1,112503,1,68432
283,15599289,Yeh,724,Female,37,10,1,1,157863,0,68599
284,15598086,Brown,624,Female,45,3,1,1,168002,1,68640
285,15790658,Iqbal,621,Male,42,8,1,1,74158,0,68684
286,15750299,Davison,746,Male,24,10,1,0,47997,0,68782
287,15679961,Davidson,708,Male,46,7,1,1,39704,0,68800
288,15751524,Chigozie,677,Female,36,10,1,1,33075,0,68807
289,15575748,Conti,809,Male,36,9,2,0,109135,0,68882
290,15684951,He,542,Female,59,2,2,1,7905,1,68893
291,15585928,Hay,821,Female,31,2,1,1,25445,0,68928
292,15814553,Ball,559,Female,34,5,2,1,66879,0,69000
293,15763704,Docherty,692,Female,43,2,2,0,164621,0,69014
294,15746737,Eames,565,Male,59,9,1,1,170706,0,69130
295,15605835,Rice,743,Male,37,8,2,0,105780,0,69144
296,15756299,Davis,741,Female,64,2,1,1,59238,0,69311
297,15775590,Mackay,482,Female,48,2,1,0,102641,1,69329
298,15588450,Chukwudi,633,Female,60,8,1,1,10288,0,69365
299,15641490,Windsor,850,Female,25,8,2,1,87834,0,69385
300,15609458,Vincent,797,Male,30,10,1,1,74638,0,69413
301,15657317,Allan,789,Female,32,7,1,1,107499,0,69424
302,15781129,Montgomery,687,Male,38,8,2,1,66580,1,69434
303,15787222,Ch'in,676,Male,28,1,2,1,128461,0,69459
304,15692443,Piccio,612,Male,33,5,1,1,8974,1,69479
305,15632848,Ferrari,634,Female,36,1,1,1,116238,0,69519
306,15603111,Muir,850,Male,71,10,1,1,97893,1,69608
307,15568120,Lacross,681,Female,37,7,1,1,72128,0,69610
308,15790448,Calabresi,473,Female,35,6,1,1,143346,0,69617
309,15596647,Henderson,768,Male,54,8,1,1,69381,0,69713
310,15720820,Sabbatini,462,Female,24,9,2,0,64421,0,69881
311,15793070,Fiorentino,494,Female,41,2,2,1,188426,1,69975
312,15811261,Alaniz,617,Male,42,0,1,1,120831,0,70106
313,15742504,Azuka,593,Male,36,2,2,1,80608,0,70181
314,15643679,Goliwe,784,Male,28,2,2,1,179253,0,70234
315,15603550,Longo,588,Female,37,7,2,1,139608,0,70259
316,15803365,Coffee,653,Male,55,2,1,0,62348,0,70264
317,15723950,Kruglov,684,Male,40,2,1,1,115469,1,70291
318,15658485,Heath,785,Female,34,9,1,1,68600,0,70302
319,15585768,Cameron,582,Male,41,6,2,0,178074,0,70349
320,15773852,Hayes,533,Male,38,4,2,1,104189,0,70363
321,15778290,Lappin,799,Male,70,8,1,1,36484,0,70417
322,15607753,Alexandrova,606,Female,23,10,1,0,90896,0,70418
323,15732674,Fennell,443,Male,36,6,2,0,56937,0,70438
324,15639549,Jen,718,Female,33,4,1,0,88593,0,70541
325,15756920,Genovesi,576,Male,63,9,1,0,78956,1,70655
326,15779423,K?,716,Male,39,1,2,1,76476,0,70658
327,15579166,Munro,619,Female,30,7,1,1,160949,0,70729
328,15608653,Davison,521,Female,34,7,1,1,20244,1,70731
329,15591985,Stewart,708,Female,51,8,1,1,92920,1,70754
330,15744200,Ni,587,Female,36,1,1,1,30580,0,70784
331,15686219,Wan,611,Male,38,4,2,1,2444,0,71019
332,15609977,Mundy,587,Male,47,6,1,1,57962,0,71027
333,15584704,Chiazagomekpele,519,Male,48,10,1,1,137959,0,71084
334,15599386,Black,627,Male,28,5,1,1,130504,0,71097
335,15790336,Tokareva,664,Male,36,6,2,1,122433,0,71143
336,15791842,Johnstone,478,Female,32,6,1,1,110594,0,71187
337,15624397,Moore,627,Male,43,8,1,0,127734,0,71240
338,15585595,Owens,774,Female,28,1,2,0,68760,0,71264
339,15633181,Swinton,792,Male,31,6,2,0,125913,0,71270
340,15775703,Lo,702,Male,26,2,1,1,108747,1,71281
341,15751445,Chikwado,734,Female,52,6,2,0,38984,0,71283
342,15576313,Wei,486,Female,40,9,1,1,76192,0,71340
343,15568164,Istomin,850,Female,34,4,2,1,154001,0,71380
344,15611315,Ts'ao,708,Female,23,4,1,1,103698,0,71433
345,15788676,Riley,539,Male,38,8,2,1,10074,0,71461
346,15741275,Yuan,623,Female,57,7,2,1,84421,0,71482
347,15566156,Franklin,749,Female,44,0,2,0,151084,0,71498
348,15676513,Burns,601,Male,35,8,1,1,177384,0,71554
349,15725039,McIntyre,702,Male,32,8,1,1,126082,0,71668
350,15643215,Jen,602,Male,38,2,2,0,137112,0,71668
351,15709780,Azuka,667,Female,37,9,2,1,67735,0,71787
352,15794360,Hao,592,Female,70,5,2,1,105097,1,71817
353,15648272,Medvedeva,658,Male,35,9,1,1,68142,0,71829
354,15656322,Sandover,571,Male,33,3,1,1,26772,0,71843
355,15578738,Tuan,609,Male,32,7,1,1,151925,0,71872
356,15789865,Nnaife,620,Male,28,9,1,0,190208,0,71903
357,15650545,Tomlinson,849,Male,69,7,1,1,139066,0,71996
358,15591248,Chukwumaobim,628,Female,29,9,1,1,34857,0,71996
359,15745375,Nnanna,640,Male,23,3,1,1,161333,0,72013
360,15682914,Bolton,850,Male,34,2,1,1,115768,0,72080
361,15665283,Brookes,610,Female,57,7,4,0,113229,1,72093
362,15631159,H?,705,Male,41,4,2,1,142515,0,72253
363,15730735,Henning,713,Male,38,9,2,1,26137,0,72287
364,15766017,Brookman,615,Male,58,3,1,1,85687,1,72309
365,15752139,Salter,682,Male,36,5,2,1,36896,0,72374
366,15753719,Rickards,547,Female,30,9,1,1,77077,0,72392
367,15614847,Townsend,674,Female,45,6,1,0,140042,0,72495
368,15718843,Maslova,769,Male,41,1,1,1,25724,0,72510
369,15698816,Tuan,721,Female,33,4,1,1,103931,0,72535
370,15681697,Rueda,508,Male,31,8,1,1,129803,0,72541
371,15753462,Godson,632,Male,30,2,2,0,182729,0,72549
372,15641007,Holden,614,Female,38,4,1,1,76042,0,72594
373,15704657,Denman,601,Male,39,3,1,1,41778,1,72648
374,15795737,McNaughtan,771,Female,47,3,2,1,107874,0,72664
375,15661007,Thompson,660,Male,33,0,1,0,181052,0,72783
376,15675888,Austin,550,Female,33,9,1,1,103608,0,72788
377,15800251,Elder,583,Female,26,10,2,1,96792,0,72836
378,15610090,Han,667,Male,40,8,2,1,98932,0,72945
379,15736778,Adams,807,Female,60,1,2,1,17355,0,72949
380,15794870,Sal,744,Male,38,6,2,1,78771,0,73023
381,15707551,Hutcheon,568,Male,30,8,2,1,27012,0,73054
382,15634591,Saunders,850,Male,33,8,1,1,186281,0,73059
383,15598892,Bradshaw,828,Male,30,4,2,0,161671,0,73070
384,15576760,Onodugoadiegbemma,673,Male,36,5,2,0,196142,0,73088
385,15579994,Shaw,616,Male,23,8,1,1,62733,0,73113
386,15807989,Wall,681,Male,37,8,2,1,25293,0,73179
387,15667216,Chung,579,Female,29,10,2,1,129209,0,73195
388,15806929,Ch'ien,751,Male,36,5,1,1,89223,0,73195
389,15707968,Akobundu,545,Male,36,8,2,1,89587,1,73211
390,15580953,Forbes,544,Male,30,4,1,0,126797,0,73219
391,15620981,Wickham,684,Female,48,3,1,0,21228,1,73309
392,15627637,Obioma,709,Male,23,8,2,1,63446,0,73314
393,15591091,Goering,644,Male,44,5,1,1,157167,1,73349
394,15733476,Gonzalez,543,Male,30,6,1,1,176693,0,73481
395,15681476,Foveaux,520,Female,39,1,1,0,109626,1,73493
396,15637774,Fraser,558,Male,32,5,1,0,136301,0,73494
397,15719950,Sutherland,682,Male,61,10,1,1,172141,0,73688
398,15587233,Donoghue,457,Male,41,8,3,1,185750,1,73700
399,15613699,Schnaars,430,Female,60,7,1,1,161938,1,73937
400,15697801,Sokolova,605,Female,56,1,2,1,62200,1,74129
401,15765982,Chin,735,Male,41,7,1,1,11783,1,74136
402,15643496,Randolph,730,Female,34,5,2,1,96876,0,74197
403,15746035,Pagnotto,450,Male,25,9,2,0,195463,0,74237
404,15770543,Lowe,679,Male,37,7,1,1,194618,0,74260
405,15623107,Chukwumaobim,686,Male,45,3,3,1,64907,1,74275
406,15749130,Dyer,621,Male,27,1,1,1,52582,0,74298
407,15721433,Hixson,664,Female,38,4,2,1,154396,0,74306
408,15659486,Yudina,586,Male,34,9,1,1,15035,0,74310
409,15608760,Cox,656,Female,30,4,1,1,22929,0,74323
410,15719276,T'ao,741,Male,35,6,1,0,99596,0,74371
411,15778345,Stevens,749,Female,33,1,1,1,20164,0,74386
412,15648367,Lo,600,Female,29,6,2,1,96051,0,74430
413,15744240,Shen,688,Female,46,0,1,0,6866,0,74458
414,15712608,Costa,787,Female,42,2,2,0,44274,0,74484
415,15676895,Cattaneo,547,Female,39,6,3,1,85747,1,74596
416,15678284,Pai,651,Male,35,7,3,1,129451,1,74624
417,15625904,Wang,624,Male,26,9,2,0,31231,0,74682
418,15628144,Soares,635,Female,72,4,1,0,27448,0,74813
419,15758831,Thornton,754,Male,39,3,1,0,34430,0,74896
420,15790809,Lo Duca,685,Male,40,7,1,1,198694,0,74897
421,15646756,Murphy,682,Female,33,8,1,1,32771,0,74964
422,15716619,Chiebuka,580,Female,36,3,1,1,12100,0,74975
423,15683213,Bergamaschi,554,Female,35,10,2,0,190155,0,74989
424,15624633,Kibby,702,Male,45,9,1,1,171015,0,74990
425,15745326,Carandini,538,Female,62,3,1,0,17682,1,75051
426,15777797,Kovalyova,689,Male,38,5,1,1,8652,1,75075
427,15682355,Sabbatini,772,Male,42,3,2,1,92889,1,75075
428,15634974,Seppelt,614,Female,37,8,4,0,131767,1,75150
429,15586757,Anenechukwu,801,Female,32,4,1,1,37899,0,75171
